iter	Passed	Remaining
0	0	910
1	1	829
2	2	810
3	3	822
4	4	844
5	5	833
6	5	813
7	6	802
8	7	793
9	7	786
10	8	773
11	9	779
12	10	778
13	11	798
14	12	806
15	13	819
16	14	826
17	15	825
18	16	833
19	17	836
20	18	880
21	19	876
22	20	869
23	21	865
24	22	861
25	22	861
26	25	913
27	26	904
28	26	896
29	27	890
30	28	886
31	29	891
32	30	888
33	31	883
34	31	878
35	32	870
36	33	864
37	34	865
38	35	864
39	35	863
40	36	860
41	37	855
42	38	852
43	39	856
44	41	871
45	41	868
46	42	863
47	43	860
48	44	856
49	45	856
50	45	855
51	46	852
52	47	849
53	48	845
54	48	841
55	49	838
56	50	834
57	51	831
58	52	829
59	52	829
60	53	827
61	54	824
62	55	821
63	55	818
64	56	816
65	57	813
66	58	812
67	59	810
68	59	808
69	60	805
70	61	801
71	61	797
72	62	795
73	63	792
74	64	790
75	65	790
76	65	790
77	66	788
78	67	785
79	68	783
80	68	780
81	69	782
82	70	779
83	71	779
84	72	778
85	73	776
86	73	774
87	74	772
88	75	771
89	76	770
90	77	771
91	78	772
92	78	769
93	79	766
94	80	764
95	80	762
96	81	760
97	82	762
98	83	763
99	84	764
100	99	885
101	100	881
102	100	879
103	101	876
104	102	874
105	103	872
106	104	870
107	104	867
108	105	864
109	106	861
110	107	858
111	107	855
112	108	854
113	109	853
114	110	850
115	111	847
116	111	843
117	112	841
118	113	840
119	114	838
120	115	837
121	116	834
122	117	834
123	118	838
124	119	836
125	120	834
126	120	831
127	122	835
128	124	842
129	125	839
130	126	838
131	127	841
132	129	841
133	129	837
134	130	835
135	131	833
136	131	830
137	132	828
138	133	828
139	135	829
140	135	827
141	136	823
142	137	821
143	137	819
144	138	816
145	139	815
146	140	813
147	141	813
148	142	811
149	142	809
150	143	806
151	144	804
152	144	802
153	145	801
154	146	801
155	147	799
156	148	796
157	149	794
158	149	792
159	150	790
160	151	787
161	152	789
162	153	788
163	154	787
164	155	785
165	155	783
166	156	781
167	157	779
168	158	778
169	158	776
170	159	773
171	160	772
172	161	770
173	162	769
174	163	769
175	164	769
176	165	768
177	166	766
178	166	764
179	167	763
180	168	761
181	168	759
182	169	757
183	170	756
184	171	755
185	172	753
186	173	752
187	173	750
188	174	749
189	175	747
190	176	746
191	177	745
192	177	743
193	178	742
194	179	740
195	180	738
196	180	737
197	181	737
198	182	736
199	183	734
200	184	733
201	185	731
202	185	729
203	186	728
204	187	726
205	188	724
206	188	723
207	189	722
208	190	720
209	191	718
210	191	717
211	192	715
212	193	714
213	194	713
214	194	711
215	195	710
216	196	709
217	197	708
218	198	706
219	198	704
220	199	702
221	200	701
222	201	701
223	202	700
224	202	698
225	203	697
226	204	696
227	205	694
228	205	693
229	206	692
230	207	691
231	208	689
232	209	688
233	209	686
234	210	685
235	211	684
236	211	682
237	212	681
238	213	680
239	214	679
240	215	677
241	215	676
242	216	674
243	217	672
244	217	671
245	218	669
246	219	668
247	220	667
248	221	667
249	222	666
250	222	664
251	223	663
252	224	661
253	224	660
254	225	659
255	226	659
256	228	659
257	228	658
258	229	656
259	230	655
260	231	656
